,0,1,2,3
0,Q8TBF4,Q15717,O15085,P55157
1,Q8TBF4,Q15717,Q9Y619,P55157
2,Q8TBF4,Q15717,Q8TAS1,P55157
3,Q8TBF4,Q15717,Q9Y2J2,P55157
4,Q8TBF4,Q15717,Q9ULH1,P55157
5,Q8TBF4,Q15717,Q9NZV5,P55157
6,Q8TBF4,Q15717,P42566,P55157
7,Q8TBF4,Q15717,Q14999,P55157
8,Q8TBF4,P08865,Q14999,P55157
9,Q8TBF4,P51148,Q14999,P55157
10,Q8TBF4,Q8NI27,Q14999,P55157
11,Q8TBF4,P15880,Q14999,P55157
12,Q8TBF4,Q15717,Q9H1R2,P55157
13,Q8TBF4,Q15717,Q9NRJ4,P55157
14,Q8TBF4,Q15717,P62993,P55157
15,Q8TBF4,Q8NI27,O95433,P55157
16,Q8TBF4,P15880,O95433,P55157
17,Q8TBF4,Q8NI27,Q9UJV9,P55157
18,Q8TBF4,O43660,Q9UJV9,P55157
19,Q8TBF4,P15880,P35240,P55157
20,Q8TBF4,P15880,P50570,P55157
21,Q8TBF4,P15880,O43390,P55157
22,Q8TBF4,P15880,Q15427,P55157
