Protein,Degree
P02768,196
O00716,195
P51991,161
Q00535,160
P05386,153
P05387,152
P40429,140
Q13838,109
Q00536,97
P20936,88
P24522,81
P40424,58
Q9NXR8,53
P05388,52
Q9NXR1,52
Q92917,51
P40425,50
P03891,40
P03897,34
Q5MIZ7,33
Q13835,32
Q00537,29
O00212,26
Q9NVL8,24
A0AVF1,24
Q15572,23
P21815,21
P30939,21
P20930,20
Q4VXU2,19
Q9NZV5,19
P40426,18
Q9UBM7,17
P30613,16
O00244,15
O95343,15
P40617,14
Q8TBF4,14
P02760,14
Q15717,12
Q9C0H2,12
Q6ZNW5,11
P07902,10
Q00532,10
P23919,10
Q9NQ76,10
O75326,9
P48960,9
A6H8Z2,9
P05067,9
Q9C0H5,9
P20933,7
Q5H9L4,7
P04629,7
P62993,7
Q9H0R8,6
O00241,6
P23258,6
Q8TBF2,6
P60520,6
P02751,6
P12931,6
P09651,6
Q00839,6
O14980,6
Q6P1J6,6
Q13077,5
P62987,5
P13612,5
Q13616,5
Q99496,5
P15880,5
P62081,5
Q14999,5
P00519,5
P49736,5
P27348,5
P23396,5
P04406,5
Q9GZQ8,5
P62851,4
P40337,4
P18621,4
P05362,4
Q13617,4
P62917,4
P62277,4
Q93034,4
Q9H492,4
Q504Q3,4
P11940,4
P36578,4
Q9Y3U8,4
Q5H9L2,4
P62244,4
P63173,4
Q7Z3T1,4
P62753,4
P62249,4
Q08379,4
Q86VP6,4
O95166,4
P61981,4
Q13618,4
P62714,4
P05412,4
P49207,4
O60260,4
Q8IWL3,4
P15927,4
P62829,4
P03372,4
P06241,4
Q8NHX9,4
P06493,4
P63104,4
P16104,4
P78362,4
P04637,4
P32969,4
P10275,4
P16333,4
P83731,4
P12004,4
Q6IQ23,4
P08865,4
P68104,4
O75530,4
P11021,4
P62854,4
P50914,4
P84098,4
P35268,4
P46379,4
P46777,3
P61254,3
P03886,3
P62910,3
P62424,3
P30050,3
P12956,3
Q02543,3
P62280,3
P19320,3
P39019,3
P62750,3
Q9Y2K1,3
Q9UKB1,3
Q9NZC7,3
Q7L5N1,3
Q92620,3
P04183,3
Q9NXR5,3
P02545,3
Q9HCE1,3
Q9BV73,3
P40763,3
P01106,3
Q9UQL6,3
P38936,3
P35222,3
P14635,3
P08670,3
Q13315,3
P50222,3
P19784,3
Q9Y6K9,3
Q9UJV9,3
P31269,3
Q13153,3
Q9Y586,3
O60663,3
O14770,3
P43355,3
O00358,3
Q13394,3
P35226,3
Q13148,3
Q9H0W5,3
Q00987,3
Q8NA03,3
O95793,3
Q9UKV8,3
P62913,3
P02533,3
O14965,3
P62906,3
P46776,3
Q15910,3
Q00005,3
Q92901,3
P46783,3
P46782,3
Q9NRD1,3
P26373,3
P62241,3
P42766,3
P61353,3
P46778,3
Q9Y5K5,3
P46779,3
P61927,3
P18124,3
Q96GG9,3
Q969P0,3
Q9NRC8,3
Q13620,3
Q9NVL1,3
O75147,3
P05556,3
Q92905,3
P35637,3
Q15843,3
P01112,3
Q96KP4,3
Q14103,3
P60484,3
P14373,3
Q9BRK4,3
P61513,3
P60033,3
Q8NHW5,3
P61313,3
P18077,3
P62266,3
P27635,3
P61247,3
P62269,3
Q07020,3
P11441,3
P62945,3
P49023,3
P62899,3
P60866,3
P62888,3
P47914,3
P62701,3
Q9UNX3,3
P39023,3
Q02878,3
P62263,3
P62891,3
P83881,3
Q07002,2
Q9UBU9,2
Q9Y490,2
P03901,2
O75438,2
P82979,2
A6NLX3,2
O95178,2
P51970,2
O95139,2
P17568,2
O75251,2
P32121,2
Q8WVE6,2
O43676,2
Q9NPJ6,2
O15239,2
O95168,2
O95169,2
P62258,2
Q13009,2
Q14680,2
Q92624,2
O95167,2
O14561,2
Q9UQC2,2
O43674,2
Q96T76,2
P63151,2
Q8IWZ8,2
O95817,2
P31946,2
O43677,2
P20248,2
O43678,2
Q86Y39,2
Q9UI09,2
O95298,2
Q6ZU80,2
O94921,2
Q9UM11,2
P37231,2
P18084,2
O60925,2
P62136,2
Q16643,2
P17301,2
P63220,2
Q9Y371,2
Q05397,2
O75364,2
Q14114,2
P07900,2
P62847,2
Q9GZM8,2
Q14094,2
P57078,2
Q96EP5,2
P62841,2
Q9H6Z9,2
Q8TDN4,2
O75553,2
P04150,2
Q9Y6M9,2
Q13619,2
Q9NX14,2
O95299,2
P26358,2
Q16543,2
P30305,2
Q9P0J0,2
Q6UXH1,2
Q96PU5,2
Q15078,2
P46527,2
P08708,2
P56524,2
P24864,2
P35240,2
P30281,2
P56556,2
P50238,2
O95182,2
Q92830,2
P00441,2
O00217,2
P38919,2
Q00444,2
P09067,2
Q86YD7,2
P55072,2
P62857,2
Q6ZQN5,2
Q86V81,2
Q13285,2
Q15022,2
Q562F6,2
P22695,2
Q13509,2
P35219,2
Q9BXX0,2
Q13569,2
P21246,2
Q06330,2
P26641,2
P55347,2
P31273,2
P49639,2
Q9UL18,2
Q07021,2
P11142,2
Q13310,2
Q12986,2
Q9H3D4,2
P06748,2
Q6NUN9,2
P27694,2
P42677,2
Q12948,2
P61326,2
P36873,2
P46781,2
